x cod0 cod1 cod2 cod3 cod4 cod5 cod6 cod7 cod8 cod9
-1.8912 2.9942426452387515e-12 -1.1086626512995192e-11 -8.274147908792637e-12 -6.162932274956073e-12 -1.053095955442117e-11 -6.502233687410367e-12 -9.342212604676144e-12 -1.1788615553924328e-11 -1.0800222813314534e-11 -8.312332558894953e-12
-1.8896 3.038243804431237e-12 -1.1250802439556511e-11 -8.397354508955748e-12 -6.254764279301983e-12 -1.0687577387678526e-11 -6.598484037789039e-12 -9.480939914882818e-12 -1.1963492098234278e-11 -1.0961106853704843e-11 -8.435730824303959e-12
-1.888 3.0822440412792435e-12 -1.1415011331374919e-11 -8.520605397653519e-12 -6.3466310850206895e-12 -1.0844245968210853e-11 -6.69475262778337e-12 -9.619706118733718e-12 -1.2138412542569445e-11 -1.1122050524075217e-11 -8.559162657270049e-12
-1.8864 3.1262433557827632e-12 -1.157925318845042e-11 -8.643900574885924e-12 -6.438532692112166e-12 -1.1000965296018121e-11 -6.791039457393352e-12 -9.75851121622885e-12 -1.2313376886929811e-11 -1.1283053824425628e-11 -8.68262805779321e-12
-1.8848 3.1702417479418113e-12 -1.1743528010783043e-11 -8.767240040652999e-12 -6.5304691005764544e-12 -1.1157735371100384e-11 -6.887344526619008e-12 -9.897355207368229e-12 -1.2488385131315406e-11 -1.1444116754756122e-11 -8.806127025873466e-12
-1.8832 3.2142392177563763e-12 -1.1907835798372776e-11 -8.890623794954732e-12 -6.622440310413522e-12 -1.1314556193457621e-11 -6.983667835460327e-12 -1.0036238092151847e-11 -1.2663437275726214e-11 -1.1605239315066684e-11 -8.929659561510809e-12
-1.8816 3.2582357652264637e-12 -1.207217655121963e-11 -9.014051837791116e-12 -6.7144463216233856e-12 -1.1471427763089822e-11 -7.080009383917295e-12 -1.0175159870579696e-11 -1.2838533320162238e-11 -1.1766421505357305e-11 -9.053225664705224e-12
-1.88 3.3022313903520716e-12 -1.2236550269323577e-11 -9.137524169162153e-12 -6.806487134206041e-12 -1.1628350079996994e-11 -7.1763691719899325e-12 -1.0314120542651785e-11 -1.3013673264623485e-11 -1.1927663325627997e-11 -9.176825335456737e-12
-1.8784 3.3462260931331926e-12 -1.240095695268461e-11 -9.261040789067836e-12 -6.898562748161468e-12 -1.1785323144179111e-11 -7.272747199678218e-12 -1.0453120108368089e-11 -1.3188857109109901e-11 -1.2088964775878714e-11 -9.300458573765314e-12
-1.8768 3.3902198735698395e-12 -1.2565396601302777e-11 -9.38460169750818e-12 -6.990673163489703e-12 -1.1942346955636219e-11 -7.369143466982171e-12 -1.0592158567728647e-11 -1.3364084853621572e-11 -1.2250325856109534e-11 -9.424125379630988e-12
-1.8752 3.4342127316620078e-12 -1.2729869215178058e-11 -9.508206894483184e-12 -7.082818380190721e-12 -1.2099421514368298e-11 -7.465557973901785e-12 -1.073123592073345e-11 -1.353935649815845e-11 -1.2411746566320402e-11 -9.54782575305374e-12
-1.8736 3.4782046674096947e-12 -1.2894374794310428e-11 -9.631856379992841e-12 -7.174998398264539e-12 -1.2256546820375349e-11 -7.561990720437067e-12 -1.0870352167382478e-11 -1.371467204272055e-11 -1.2573226906511338e-11 -9.671559694033573e-12
-1.8719999999999999 3.5221956808129027e-12 -1.3058913338699919e-11 -9.755550154037154e-12 -7.267213217711146e-12 -1.2413722873657378e-11 -7.658441706588004e-12 -1.1009507307675743e-11 -1.3890031487307857e-11 -1.2734766876682337e-11 -9.795327202570503e-12
-1.8704 3.5661857718716245e-12 -1.3223484848346486e-11 -9.8792882166161e-12 -7.359462838530523e-12 -1.2570949674214338e-11 -7.754910932354587e-12 -1.1148701341613233e-11 -1.4065434831920361e-11 -1.2896366476833374e-11 -9.9191282786645e-12
-1.8688 3.6101749405858706e-12 -1.3388089323250195e-11 -1.0003070567729724e-11 -7.451747260722703e-12 -1.2728227222046314e-11 -7.851398397736844e-12 -1.1287934269194975e-11 -1.424088207655809e-11 -1.3058025706964488e-11 -1.0042962922315586e-11
-1.8672 3.6541631869556405e-12 -1.3552726763410997e-11 -1.0126897207377993e-11 -7.544066484287677e-12 -1.2885555517153228e-11 -7.840734321513864e-12 -1.1427206090420949e-11 -1.4416373221221035e-11 -1.321974456707568e-11 -1.0063732069223367e-11
-1.8656 3.698150510980926e-12 -1.3717397168828916e-11 -7.135836820583009e-12 -7.636420509225449e-12 -1.3042934559535121e-11 -7.80086456492852e-12 -1.156651680529116e-11 -1.4545866469565764e-11 -1.1611319638122998e-11 -1.004100057635674e-11
-1.8639999999999999 3.742136912661736e-12 -4.0632152433738315e-12 -1.2893141648598993e-12 -7.728809335536002e-12 -1.3193542507769274e-11 4.0220191672787385e-12 -1.1705866413805616e-11 -1.4618086603232235e-11 -6.215000605488666e-12 2.0190103419654853e-13
-1.8624 3.786122391998058e-12 -1.3421124708736562e-11 5.216431468728396e-12 -3.711303920997651e-12 -8.275101261239697e-12 1.5688514099026222e-11 -7.217422575155387e-12 5.712367674253406e-13 4.22750981197016e-13 1.2326736219670377e-11
-1.8608 3.830106948989907e-12 -8.407758697027819e-12 1.0087098221655927e-11 -9.08290803495758e-12 6.468249491877619e-12 8.835776536205353e-12 -9.56035709559908e-12 -3.4462561643583934e-12 -1.4465358485496065e-11 1.9674508427210035e-11
-1.8592 3.874090583637276e-12 -4.327298492038812e-12 -8.436608940812273e-12 1.284478929103651e-12 2.828528461934795e-14 9.14418059226248e-12 -1.9272369063293885e-12 -1.4065468504092622e-12 -2.5857172125997387e-12 1.3815043299164491e-11
-1.8576 6.3790584394038786e-12 -1.761532961576811e-12 1.560668402083773e-12 5.802684748589574e-12 1.7796086271889432e-12 9.44252411739925e-12 1.2135635212680337e-12 -5.609970816758115e-13 2.621529793219835e-13 8.711259431748329e-12
-1.8559999999999999 8.073670393627656e-12 -2.963891310345831e-13 8.662583173312574e-12 8.160674698973184e-12 3.269794665713972e-12 9.730807111615663e-12 2.942237194075728e-12 -3.320014728142325e-13 1.7907860194186e-12 9.006845168852257e-12
-1.8544 1.272244809828389e-11 1.3325771370661368e-12 1.1168403879275208e-11 1.045879768360358e-11 4.217519310534762e-12 9.95927301530222e-12 4.820884334937613e-12 -1.2109148865212695e-13 3.4570534909553658e-12 9.278440732029933e-12
-1.8528 1.3566042064587966e-11 2.058798999502394e-12 1.2840765608987069e-11 1.0970685136148025e-11 4.364195344345236e-12 1.0129506543717493e-11 5.400720486149275e-12 -4.2295044915014395e-15 3.557885326780208e-12 9.444751551683676e-12
-1.8512 1.4253174313720953e-11 2.117530173339896e-12 1.3044271644347985e-11 1.114238551599746e-11 4.4473100566325e-12 1.029569002832623e-11 5.497277055982151e-12 3.473973472829847e-14 3.6292593512098755e-12 9.606490414543733e-12
-1.8496 1.4662175524982237e-11 2.169401747294035e-12 1.3242555681976093e-11 1.1308695722167789e-11 4.525780441965036e-12 1.0457823469128415e-11 5.588483759188084e-12 6.794504059225588e-14 3.696668835484262e-12 9.763657320610136e-12
-1.848 1.49004015281909e-11 2.2144137213648237e-12 1.3435617721871413e-11 1.1469615754659015e-11 4.599606500342808e-12 1.061590686612403e-11 5.674340595767035e-12 9.538641310039e-14 3.7601137796033655e-12 9.916252269882833e-12
-1.8464 1.5136688813189534e-11 2.2525660955522504e-12 1.3623457764033965e-11 1.1625145613471178e-11 4.668788231765865e-12 1.0769940219313103e-11 5.754847565719045e-12 1.1706385225269322e-13 3.819594183567212e-12 1.0064275262361904e-11
-1.8448 1.537103737997812e-11 2.2838588698563455e-12 1.380607580846373e-11 1.1775285298604256e-11 4.733325636234178e-12 1.0919923528695636e-11 5.83000466904407e-12 1.3297735804917013e-13 3.875110047375757e-12 1.0207726298047292e-11
-1.8432 1.5581635018843274e-11 2.3082920442770597e-12 1.3983471855160708e-11 1.1920034810058261e-11 4.7932187137477754e-12 1.1065856794271617e-11 5.8998119057421464e-12 1.431269304898137e-13 3.9266613710290465e-12 1.0346605376939022e-11
-1.8416 1.577623680682671e-11 2.325865618814415e-12 1.4155645904124883e-11 1.2059394147833151e-11 4.848467464306617e-12 1.1207740016041039e-11 5.964269275813248e-12 1.4751256957461356e-13 3.97424815452703e-12 1.0480912499037088e-11
-1.84 1.5969645773551187e-11 2.3365795934683738e-12 1.432259795535621e-11 1.219336331192891e-11 4.899071887910689e-12 1.1345573194003852e-11 6.02337677925733e-12 1.4613427530354413e-13 4.017870397869706e-12 1.0610647664341418e-11
-1.8384 1.6161861919016748e-11 2.34420034828639e-12 1.4487367241676046e-11 1.2324961316463408e-11 4.947746838573478e-12 1.1481785832545604e-11 6.080172471367327e-12 1.4226935970462228e-13 4.059893189208239e-12 1.0738533213214795e-11
-1.8368 1.6352885243223375e-11 2.3524942633156367e-12 1.4652992995905344e-11 1.2457207175554212e-11 4.997207170308254e-12 1.1618807436051555e-11 6.137694407435815e-12 1.3919513480562674e-13 4.1026816166935324e-12 1.086729148601967e-11
-1.8352 1.6542715746171063e-11 2.3614613385561746e-12 1.48194752180442e-11 1.2590100889201366e-11 5.047452883115037e-12 1.1756638004521756e-11 6.195942587462889e-12 1.3691160060657096e-13 4.146235680325611e-12 1.0996922482756079e-11
-1.8336 1.67313534278598e-11 2.371101574007981e-12 1.4986813908092564e-11 1.2723642457404884e-11 5.0984839769938415e-12 1.1895277537956194e-11 6.254917011448516e-12 1.354187571074613e-13 4.190555380104494e-12 1.1127426203424025e-11
-1.832 1.691879862289775e-11 2.3814149696710748e-12 1.5155009066050456e-11 1.2857831880164733e-11 5.150300451944661e-12 1.2034726036354834e-11 6.314617679392687e-12 1.3471660430833116e-13 4.235640716030188e-12 1.1258802648023494e-11
-1.8304 1.7105060804867698e-11 2.392401525545444e-12 1.532406069191793e-11 1.2992669157480957e-11 5.202902307967491e-12 1.217498349971776e-11 6.375044591295452e-12 1.3480514220914764e-13 4.281491688102672e-12 1.1391051816554532e-11
-1.8288 1.7290144300069094e-11 2.40406124163111e-12 1.5493968785694897e-11 1.3128154289353538e-11 5.256289545062346e-12 1.2316049928044908e-11 6.436197747156755e-12 1.3568437080991154e-13 4.328108296321967e-12 1.1524173709017083e-11
-1.8272 1.7474049108501934e-11 2.4163941179280387e-12 1.566473334738143e-11 1.3264287275782463e-11 5.310462163229209e-12 1.2457925321336277e-11 6.498077146976647e-12 1.3735429011062752e-13 4.375490540688058e-12 1.1658168325411177e-11
